replication,seed,alpha_0.01,alpha_0.05,alpha_0.10
1,20261001,0.011473347622720271,0.06204001550496092,0.11756549630692874
2,20261001,0.011438740161181236,0.06213945347527084,0.1177123762777114
3,20261001,0.011388958947569024,0.06210642843452782,0.11778994569456794
4,20261001,0.011436068985315583,0.062059993347092224,0.117724204150783
5,20261001,0.011434502313303865,0.06202665504281104,0.11753766997067447
6,20261001,0.011437607675571265,0.0620511061357903,0.11757618089958087
7,20261001,0.011445722262114752,0.06213986867631728,0.11772749414381611
8,20261001,0.011437151505204966,0.06212795172203209,0.11769981741875826
9,20261001,0.011445207846489579,0.062184865265184235,0.11793715811845769
10,20261001,0.011441091635282515,0.062167472508669525,0.11775893051956263
11,20261001,0.011427924419767298,0.062078622619817524,0.11763312731040972
12,20261001,0.011449453264258913,0.06214664325787019,0.11773596718395427
13,20261001,0.011397610696705019,0.0620204831070636,0.11758185580714715
14,20261001,0.011444106972578692,0.06196740657312365,0.1174371544572594
15,20261001,0.011438582839505232,0.0620200876986985,0.1175202376063394
16,20261001,0.011380537374481527,0.06199268978681879,0.11758497305758894
17,20261001,0.01145097229283533,0.062012210088373154,0.11751111457786165
18,20261001,0.011474720526344158,0.06204368218741418,0.1175712521553638
19,20261001,0.011439028761876165,0.06202144782192835,0.11751561778845418
20,20261001,0.011450470532536148,0.061862053560018275,0.11728037588260755
21,20261001,0.011399482483640536,0.06217082043172923,0.11778106963747072
22,20261001,0.011433437164140943,0.062001766093114606,0.11761409288868362
23,20261001,0.011382749118636556,0.062007167073969596,0.11754033250755999
24,20261001,0.011390109244360168,0.06202386893321746,0.1175200003446631
25,20261001,0.011396218723838555,0.062114371858393747,0.11781012446418454
26,20261001,0.011403703641651108,0.06208535137912997,0.11776985913823924
27,20261001,0.011386801496346162,0.06200375135177282,0.11749223876439821
28,20261001,0.011456657552054985,0.06197904462943452,0.11758015126972375
29,20261001,0.011439313344908967,0.06210455127276581,0.1177962945915863
30,20261001,0.011441546360467916,0.06208128642365273,0.11762608451108084
